,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal,best_primal,primal_gap
2000,ulysses22-5.5.json,MIP-DEL,0,195.4795218,90.0,0.36381378886927634,143.333,143.3329278329,103.139,0,0,221491,766,0.018694525495408162,143.333,0.0
2085,random-90-13.00-0.json,MIP-DEL,0,0,0,0,0,0,34.713,0,0,0,0,-1,,
2084,random-70-16.00-0.json,MIP-DEL,0,0,0,0,0,547.571021307,1800.02,0,0,180393,3,-1,,
2083,random-90-6.00-0.json,MIP-DEL,0,0,0,0,0,0,3.11962,0,0,0,0,-1,,
2082,random-90-16.64-0.json,MIP-DEL,0,0,0,0,0,0,30.5891,0,0,0,0,-1,,
2081,random-80-10.00-0.json,MIP-DEL,0,0,0,0,0,0,24.0842,0,0,0,0,-1,,
2080,random-70-10.00-0.json,MIP-DEL,0,0,0,0,0,0,52.484,0,0,0,0,-1,,
2079,random-80-4.00-0.json,MIP-DEL,0,0,0,0,0,0,33.2716,0,0,0,0,-1,,
2078,random-90-20.00-0.json,MIP-DEL,0,0,0,0,0,0,27.7165,0,0,0,0,-1,,
2077,random-80-7.12-0.json,MIP-DEL,0,0,0,0,0,0,27.7837,0,0,0,0,-1,,
2076,random-100-6.00-0.json,MIP-DEL,0,0,0,0,0,0,4.9749,0,0,0,0,-1,,
2075,random-200-32.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2074,random-100-24.00-0.json,MIP-DEL,0,0,0,0,0,0,2.5886,0,0,0,0,-1,,
2073,random-200-47.12-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2072,random-150-19.68-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2071,random-100-10.68-0.json,MIP-DEL,0,0,0,0,0,0,3.97392,0,0,0,0,-1,,
2070,random-200-8.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2069,random-150-46.40-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2068,random-100-15.00-0.json,MIP-DEL,0,0,0,0,0,0,3.40379,0,0,0,0,-1,,
2067,random-150-6.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2066,random-200-20.96-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2065,random-150-32.80-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2064,random-150-60.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2063,random-100-19.68-0.json,MIP-DEL,0,0,0,0,0,0,2.94401,0,0,0,0,-1,,
2062,random-200-60.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2061,random-60-6.60-0.json,MIP-ADD,0,0,0,0,0,0.0,136.133,0,0,0,1,-1,,
2086,random-80-13.12-0.json,MIP-DEL,0,0,0,0,0,0,21.2644,0,0,0,0,-1,,
2087,random-90-9.64-0.json,MIP-DEL,0,0,0,0,0,0,39.7311,0,0,0,0,-1,,
2088,random-80-16.00-0.json,MIP-DEL,0,0,0,0,0,0,18.9574,0,0,0,0,-1,,
2089,random-70-13.12-0.json,MIP-DEL,0,0,0,0,0,0,184.55,0,0,0,0,-1,,
2115,random-40-12.00-0.json,MIP-DEL,0,0,0,0,0,465.1697259344,1800.0,0,0,1765225,971,-1,,
2114,random-60-11.60-0.json,MIP-DEL,0,0,0,0,0,503.3448162903,1800.0,0,0,387204,52,-1,,
2113,random-50-9.60-0.json,MIP-DEL,0,0,0,0,0,456.5583914662,1800.0,0,0,1337953,89,-1,,
2112,random-40-9.60-0.json,MIP-DEL,0,0,0,0,0,498.0931464085,1800.0,0,0,2154650,388,-1,,
2111,random-60-9.00-0.json,MIP-DEL,0,0,0,0,0,512.8256298441,1800.02,0,0,428621,21,-1,,
2110,random-70-4.00-0.json,MIP-DEL,0,0,0,0,0,0,20.7196,0,0,0,0,-1,,
2109,random-50-4.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,64323,1,-1,,
2108,random-70-7.12-0.json,MIP-DEL,0,0,0,0,0,0,78.8552,0,0,0,0,-1,,
2107,random-60-4.00-0.json,MIP-DEL,0,0,0,0,0,542.6717076682,1800.01,0,0,214484,3,-1,,
2106,random-50-2.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2105,random-50-12.00-0.json,MIP-DEL,0,0,0,0,0,456.4784983666,1800.01,0,0,1311484,103,-1,,
2104,random-60-14.00-0.json,MIP-DEL,0,0,0,0,0,492.2545356915,1800.01,0,0,286015,17,-1,,
2060,random-50-7.00-0.json,MIP-ADD,0,0,0,0,0,513.5357617138,1800.05,0,0,384811,1,-1,,
2103,random-30-5.00-0.json,MIP-DEL,0,1404.9425925,589.0,0.1055401964873075,1270.82,1176.760319162,1800.02,0,0,3406905,25888,0.047505927724618764,1270.82,0.0
2101,random-40-4.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2100,random-20-2.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2099,random-30-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2098,random-40-7.00-0.json,MIP-DEL,0,0,0,0,0,523.1741613362,1800.0,0,0,2618743,333,-1,,
2097,random-20-7.60-0.json,MIP-DEL,0,897.9752975,162.0,0.558349106701259,595.105,474.0620082896,1800.0,0,0,4031536,18278,0.09076330421201606,576.235,0.032747056322507316
2096,random-20-0.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2095,random-30-2.60-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2094,random-20-10.00-0.json,MIP-DEL,0,830.5558232,153.0,0.8646576785954828,473.395,414.6709344032,1800.0,0,0,5516391,21129,0.1621173663607128,445.42,0.06280589106910324
2093,random-30-7.60-0.json,MIP-DEL,0,0,0,0,0,454.4270139505,1800.0,0,0,1660382,903,-1,,
2092,random-40-2.00-0.json,MIP-DEL,0,0,0,0,0,0,0,0,0,0,0,-1,,
2091,random-10-5.00-0.json,MIP-DEL,0,479.5543372,0.0,0.29966512603561685,368.983,368.9834937416,2.51565,0,0,26885,878,0.00012224794532838593,368.983,0.0
2090,random-20-5.00-0.json,MIP-DEL,0,804.4038587,187.0,0.23932903180580042,649.064,649.0636936944,578.747,0,0,2134375,14654,0.02841127017768835,649.064,0.0
2102,random-30-10.00-0.json,MIP-DEL,0,0,0,0,0,416.9099487982,1800.01,0,0,1892541,896,-1,,
2059,random-40-12.00-0.json,MIP-ADD,0,0,0,0,0,481.0437651898,1800.0,0,0,1475515,2655,-1,,
2058,random-60-11.60-0.json,MIP-ADD,0,0,0,0,0,473.1963539326,1409.27,0,0,110457,1,-1,,
2057,random-50-9.60-0.json,MIP-ADD,0,0,0,0,0,482.4990243378,1404.18,0,0,253589,1,-1,,
2026,random-90-16.64-0.json,MIP-ADD,0,0,0,0,0,0,23.2026,0,0,0,0,-1,,
2025,random-80-10.00-0.json,MIP-ADD,0,0,0,0,0,0,22.2542,0,0,0,0,-1,,
2024,random-70-10.00-0.json,MIP-ADD,0,0,0,0,0,0,44.0014,0,0,0,0,-1,,
2023,random-80-4.00-0.json,MIP-ADD,0,0,0,0,0,0,31.3497,0,0,0,0,-1,,
2022,random-90-20.00-0.json,MIP-ADD,0,0,0,0,0,0,18.8723,0,0,0,0,-1,,
2021,random-80-7.12-0.json,MIP-ADD,0,0,0,0,0,0,22.8548,0,0,0,0,-1,,
2020,random-100-6.00-0.json,MIP-ADD,0,0,0,0,0,0,4.67368,0,0,0,0,-1,,
2019,random-200-32.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2018,random-100-24.00-0.json,MIP-ADD,0,0,0,0,0,0,2.44147,0,0,0,0,-1,,
2017,random-200-47.12-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2016,random-150-19.68-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2015,random-100-10.68-0.json,MIP-ADD,0,0,0,0,0,0,3.74394,0,0,0,0,-1,,
2027,random-90-6.00-0.json,MIP-ADD,0,0,0,0,0,0,2.92895,0,0,0,0,-1,,
2014,random-200-8.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2012,random-100-15.00-0.json,MIP-ADD,0,0,0,0,0,0,3.20264,0,0,0,0,-1,,
2011,random-150-6.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2010,random-200-20.96-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2009,random-150-32.80-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2008,random-150-60.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2007,random-100-19.68-0.json,MIP-ADD,0,0,0,0,0,0,2.77441,0,0,0,0,-1,,
2006,random-200-60.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2005,berlin52-13.2.json,MIP-ADD,0,0,0,0,0,6668.931919149,1800.03,0,0,360081,1,-1,,
2004,burma14-3.1.json,MIP-ADD,0,52.6600643,1.0,6.779326282702362e-07,52.6601,52.66006434063,1.43905,0,0,1297,1,6.779326282702363e-07,52.6601,0.0
2003,ulysses22-5.5.json,MIP-ADD,0,168.2404483,201.0,0.17377329924023077,143.333,143.3329278329,908.843,0,0,1382467,10713,0.08569374699902414,143.333,0.0
2002,berlin52-13.2.json,MIP-DEL,0,0,0,0,0,7148.820768398,1800.01,0,0,840659,25,-1,,
2001,burma14-3.1.json,MIP-DEL,0,52.66006,0.0,7.595883790286326e-07,52.6601,52.66006434063,0.973638,0,0,158,1,7.595883790286327e-07,52.6601,0.0
2013,random-150-46.40-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2116,random-50-7.00-0.json,MIP-DEL,0,0,0,0,0,494.7755132355,1800.0,0,0,1015742,68,-1,,
2028,random-70-16.00-0.json,MIP-ADD,0,0,0,0,0,0.0,171.241,0,0,0,1,-1,,
2030,random-80-13.12-0.json,MIP-ADD,0,0,0,0,0,0,16.5035,0,0,0,0,-1,,
2056,random-40-9.60-0.json,MIP-ADD,0,0,0,0,0,491.1217875489,1800.03,0,0,1471142,1395,-1,,
2055,random-60-9.00-0.json,MIP-ADD,0,0,0,0,0,484.8003164269,1800.01,0,0,141217,1,-1,,
2054,random-70-4.00-0.json,MIP-ADD,0,0,0,0,0,0,19.4744,0,0,0,0,-1,,
2053,random-50-4.60-0.json,MIP-ADD,0,0,0,0,0,556.7524041928,1800.06,0,0,268273,1,-1,,
2052,random-70-7.12-0.json,MIP-ADD,0,0,0,0,0,0,65.5363,0,0,0,0,-1,,
2051,random-60-4.00-0.json,MIP-ADD,0,0,0,0,0,0.0,222.312,0,0,0,1,-1,,
2050,random-50-2.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2049,random-50-12.00-0.json,MIP-ADD,0,0,0,0,0,455.4678277859,1224.08,0,0,234972,1,-1,,
2048,random-60-14.00-0.json,MIP-ADD,0,0,0,0,0,474.1848443916,1800.12,0,0,163025,1,-1,,
2047,random-30-5.00-0.json,MIP-ADD,0,0,0,0,0,499.4223037779,1800.01,0,0,2405455,2249,-1,,
2046,random-30-10.00-0.json,MIP-ADD,0,1253.9217772,1782.0,0.04295320324716371,1202.28,399.8032487084,1800.02,0,0,2700611,2746,0.042523712469641,1202.28,0.0
2045,random-40-4.60-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,297989,1,-1,,
2029,random-90-13.00-0.json,MIP-ADD,0,0,0,0,0,0,26.8557,0,0,0,0,-1,,
2044,random-20-2.60-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,27346,1,-1,,
2042,random-40-7.00-0.json,MIP-ADD,0,0,0,0,0,515.9343230326,1800.0,0,0,2060426,546,-1,,
2041,random-20-7.60-0.json,MIP-ADD,0,1089.7000513,149.0,0.8910688370196188,576.235,446.96467519,1800.0,0,0,4034675,16390,0.09949096098110118,576.235,0.0
2040,random-20-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2039,random-30-2.60-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,11325,1,-1,,
2038,random-20-10.00-0.json,MIP-ADD,0,665.2166824,67.0,0.4934593920344842,445.42,415.1314714252,1800.0,0,0,5345351,25459,0.0879764603050059,445.42,0.0
2037,random-30-7.60-0.json,MIP-ADD,0,0,0,0,0,438.8412741256,1800.0,0,0,2114651,2347,-1,,
2036,random-40-2.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2035,random-10-5.00-0.json,MIP-ADD,0,493.9899221,0.0,0.3387877547204072,368.983,368.9834937416,0.885819,0,0,5932,138,1.3380020217536143e-06,368.983,0.0
2034,random-20-5.00-0.json,MIP-ADD,0,1761.0794031,111.0,1.7132600222782348,649.064,649.0407843241,507.882,0,0,1561254,13804,0.12115066742356866,649.064,0.0
2033,random-70-13.12-0.json,MIP-ADD,0,0,0,0,0,0,129.356,0,0,0,0,-1,,
2032,random-80-16.00-0.json,MIP-ADD,0,0,0,0,0,0,14.1943,0,0,0,0,-1,,
2031,random-90-9.64-0.json,MIP-ADD,0,0,0,0,0,0,33.1873,0,0,0,0,-1,,
2043,random-30-0.00-0.json,MIP-ADD,0,0,0,0,0,0,0,0,0,0,0,-1,,
2117,random-60-6.60-0.json,MIP-DEL,0,0,0,0,0,543.895880916,1800.0,0,0,190233,1,-1,,
